id,nick_name,Type_of_deposit,location,gold_Grams_per_ton,silver_Grams_per_ton,copper_Grams_per_ton
29,null,Epithermal,Good Springs,5.366778887076837,81.12308264334884,0.0
30,null,Placer,Colorado River,0.0574685006982667,0.07877077661075418,0.0
31,null,Epithermal,Oatmann,1.430999860028922,62.02952547844066,0.0
32,null,Placer,Colorado River,0.07395980086044063,0.0750545104560669,0.0
33,null,Sediment,Pacific Ocean,1.0881047193213238,48.39065621096372,13511.208455583053
34,null,Epithermal,Oatmann,1.3971569879888457,36.097229605016125,0.0
35,null,Placer,Klondike,0.49038696836830176,0.014861718496996313,0.0
36,null,Epithermal,Good Springs,5.72192020856248,22.772953873990165,0.0
37,null,Sediment,Pacific Ocean,4.542967343963498,25.87408675321406,16240.551477562034
38,null,Sediment,Pacific Ocean,1.6548312657022513,11.064004921435304,15706.786793514138
39,null,Sediment,Pacific Ocean,4.192277706587025,51.30277016633143,19487.193335695458
40,null,Placer,Colorado River,0.12007817111524982,0.009986322034932583,0.0
41,null,Sediment,Indian Ocean,3.4302471119649285,29.90415419556725,13945.395192988048
42,null,Epithermal,Oatmann,3.0473654385764837,52.7095595164814,0.0
43,null,Epithermal,Search Light,8.944446748390513,85.46165675270245,0.0
44,null,Placer,Streams in the Sierra Nevada Mountains,0.00986609006660677,0.04520644243636294,0.0
45,null,Sediment,Indian Ocean,2.1416554460906507,27.659599108387603,15197.997978263416
46,null,Sediment,Pacific Ocean,2.109504037409497,9.593725678101059,19980.0803786636
47,null,Sediment,Pacific Ocean,4.1379203128444235,47.390969200113254,18368.144622788204
48,null,Epithermal,Good Springs,5.982757287944567,39.34778656610307,0.0
49,null,Sediment,Arctic Ocean,0.3726970427814591,8.163599163303562,6166.673542841497
50,null,Placer,Klondike,0.0932412204825962,0.05914495963458212,0.0
51,null,Sediment,Pacific Ocean,1.2872404045045849,42.865914651426365,16597.293326943807
52,null,Placer,Streams in the Sierra Nevada Mountains,0.11230312310151852,0.09500397389560572,0.0
53,null,Sediment,Pacific Ocean,0.37742990885761385,17.265732522922796,16053.275867874096
54,null,Epithermal,Search Light,1.5311347364583305,20.98288577594665,0.0
55,null,Sediment,Pacific Ocean,4.746842334555429,32.1569420618947,9555.387615295302
56,null,Epithermal,Search Light,0.9121716923852397,55.52048382955673,0.0
57,null,Sediment,Arctic Ocean,0.9081659052109203,0.765465202291185,6729.03218169181
58,null,Sediment,Arctic Ocean,1.1453809317516195,45.05911147810654,1871.7318691437363
59,null,Sediment,Indian Ocean,0.9874493162920128,49.8917505266753,4796.3623337404115
60,null,Sediment,Arctic Ocean,4.192025733131523,48.56351433392061,4919.248550584937
61,null,Epithermal,Good Springs,5.581802697978761,49.63089416353051,0.0
62,null,Epithermal,Oatmann,0.2859760119916255,54.65600989828586,0.0
63,null,Epithermal,Oatmann,0.5989022233114893,23.89907971872023,0.0
64,null,Placer,Colorado River,0.03905528547942305,0.06769984812182726,0.0
65,null,Placer,Klondike,0.23319215426395068,0.007543708236298752,0.0
66,null,Sediment,Arctic Ocean,1.0372813626905142,44.3028109295324,5006.3374777477775
67,null,Placer,Colorado River,0.43513637660670795,0.08598634921117851,0.0
68,null,Sediment,Arctic Ocean,0.5798900445255173,10.2889527575832,4421.638055405963
69,null,Sediment,Pacific Ocean,0.1261746651455009,11.651686771347258,6670.961952868437
70,null,Sediment,Arctic Ocean,0.9422557208616134,24.24876102065017,19186.489079973413
71,null,Sediment,Pacific Ocean,2.839373664571896,46.22291979915847,555.1657317257847
72,null,Sediment,Pacific Ocean,4.360327606778908,25.185326350360473,22756.929728196585
73,null,Sediment,Pacific Ocean,4.872693455774564,46.59892036188613,23278.581917786094
74,null,Placer,Streams in the Sierra Nevada Mountains,0.07706857166313202,0.09485749931978188,0.0
75,null,Sediment,Arctic Ocean,0.38921657098115625,8.331168976398395,7442.816505038596
76,null,Placer,Streams in the Sierra Nevada Mountains,0.0929955055182431,0.0665283461066856,0.0
77,null,Placer,Klondike,0.3785677017878098,0.036848895873255884,0.0
78,null,Sediment,Pacific Ocean,1.692593935192483,17.96767115860232,3745.7890865247896
79,null,Epithermal,Search Light,4.752726169881708,48.67832215345093,0.0
80,null,Sediment,Indian Ocean,3.1569691644550684,7.774822282454586,6065.580179520361
81,null,Sediment,Arctic Ocean,2.7690412875630916,22.080345142832783,7379.748303416011
82,null,Placer,Klondike,0.05836183695015107,0.09500069566607552,0.0
83,null,Epithermal,Oatmann,7.451774238427525,82.858847916731,0.0
84,null,Placer,Colorado River,0.4432349075698499,0.025303374890979415,0.0
85,null,Epithermal,Search Light,9.972622613071614,83.73680843033313,0.0
86,null,Placer,Streams in the Sierra Nevada Mountains,0.37774562642302995,0.043460381386924096,0.0
87,null,Sediment,Indian Ocean,2.782373561290274,24.937459877119956,19295.08008381273
88,null,Sediment,Pacific Ocean,1.0425657191835676,20.80502063194403,3422.3226124625944
89,null,Placer,Colorado River,0.14867651426804418,0.08884940050481951,0.0
90,null,Placer,Klondike,0.10757612307144071,0.08658596285350219,0.0
91,null,Sediment,Pacific Ocean,2.9245345264092357,7.146146008441065,2938.5794201588906
92,null,Placer,Streams in the Sierra Nevada Mountains,0.22931987330880638,0.026286357217640766,0.0
93,null,Sediment,Arctic Ocean,2.2963407425160467,14.285680763153266,19474.45247167164
94,null,Placer,Colorado River,0.3682894761896929,0.09306162547990679,0.0
95,null,Sediment,Arctic Ocean,2.7484718853654844,19.778466299778888,20142.542781518856
96,null,Sediment,Indian Ocean,0.0457989539458431,51.651183360298,14547.663108661729
97,null,Sediment,Indian Ocean,2.788163327609876,33.536230797081764,20232.89917253647
98,null,Sediment,Indian Ocean,4.957172173710403,14.942426424636155,17905.791993596897
99,null,Placer,Klondike,0.47478722376271654,0.09462129224330282,0.0
100,null,Epithermal,Search Light,9.359069731322329,17.20747865123471,0.0
